Trainer done: <tpg.trainer.Trainer object at 0x1490fffcf2b0>
Gen: 0, Best Score: -233.47235356606083, Avg Score: -inf, Time: 0.0020358682341045805
Gen: 1, Best Score: -240.75270291375637, Avg Score: -inf, Time: 0.003084186183081733
Gen: 2, Best Score: -213.18602299940372, Avg Score: -inf, Time: 0.004008909993701511
Gen: 3, Best Score: -213.18602299940372, Avg Score: -inf, Time: 0.0049155128664440575
Gen: 4, Best Score: -213.18602299940372, Avg Score: -inf, Time: 0.005667012002733019
Gen: 5, Best Score: -213.18602299940372, Avg Score: -inf, Time: 0.00635230369038052
Gen: 6, Best Score: -213.18602299940372, Avg Score: -6.373041401338227e+118, Time: 0.00704462276564704
Gen: 7, Best Score: -213.18602299940372, Avg Score: -7.044704696529629e+126, Time: 0.0076667424705293445
Gen: 8, Best Score: -213.18602299940372, Avg Score: -inf, Time: 0.008238834473821852
Gen: 9, Best Score: -213.18602299940372, Avg Score: -3.4885591996822875e+68, Time: 0.00879882103867001
Gen: 10, Best Score: -201.65040146595345, Avg Score: -1.4849591113756743e+36, Time: 0.010276760458946228
Gen: 11, Best Score: -213.18602299940372, Avg Score: -3.575850312837923e+84, Time: 0.010901552571190729
Gen: 12, Best Score: -204.22441866146687, Avg Score: -8.748668842986501e+80, Time: 0.011462040609783597
Gen: 13, Best Score: -213.18602299940372, Avg Score: -2.7602193555565678e+51, Time: 0.011983381112416586
Gen: 14, Best Score: -213.18602299940372, Avg Score: -3.142225258863785e+88, Time: 0.012523175676663717
Gen: 15, Best Score: -183.22512155452426, Avg Score: -1.384184235801572e+56, Time: 0.013024778167406718
Gen: 16, Best Score: -183.5170048622098, Avg Score: -6.849638401281509e+52, Time: 0.013659065034654406
Gen: 17, Best Score: -178.03521005620527, Avg Score: -2.7681446258968325e+66, Time: 0.014235954483350117
Gen: 18, Best Score: -180.61339716687377, Avg Score: -2.0352953752175515e+70, Time: 0.014766260186831156
Gen: 19, Best Score: -178.8199266596167, Avg Score: -2.623069650918768e+115, Time: 0.015313382016287909
Gen: 20, Best Score: -176.31102644142663, Avg Score: -9.977076720949679e+23, Time: 0.016752133965492248
Gen: 21, Best Score: -173.4772848769099, Avg Score: -4.131790021438531e+112, Time: 0.01725658436616262
Gen: 22, Best Score: -174.83935492819882, Avg Score: -1.4028053230315704e+56, Time: 0.017789816194110446
Gen: 23, Best Score: -166.91924392168724, Avg Score: -2.6892757318639145e+56, Time: 0.01835972527662913
Gen: 24, Best Score: -162.05705455709375, Avg Score: -3.2943910231351534e+65, Time: 0.018961629072825115
Gen: 25, Best Score: -163.97216582490836, Avg Score: -1.192414157225164e+56, Time: 0.019597771565119427
Gen: 26, Best Score: -161.9031635985224, Avg Score: -1.568536050150636e+26, Time: 0.020229520466592578
Gen: 27, Best Score: -163.49481082330192, Avg Score: -4.5959298641212813e+55, Time: 0.020929429133733114
Gen: 28, Best Score: -163.97216582490836, Avg Score: -5.211680709331332e+37, Time: 0.02156009554862976
Gen: 29, Best Score: -163.97216582490836, Avg Score: -4.693073890057887e+30, Time: 0.02215623286035326
Gen: 30, Best Score: -175.15475726502837, Avg Score: -6.378033709156815e+31, Time: 0.023751787543296814
Gen: 31, Best Score: -163.35315750380803, Avg Score: -3.45492850597862e+27, Time: 0.02433803955713908
Gen: 32, Best Score: -163.35315750380803, Avg Score: -1.673409949150413e+23, Time: 0.02484254817167918
Gen: 33, Best Score: -163.35315750380803, Avg Score: -142636345041222.3, Time: 0.02543073448869917
Gen: 34, Best Score: -163.35315750380803, Avg Score: -6.361907777093446e+23, Time: 0.025957001116540698
Gen: 35, Best Score: -157.79099828991372, Avg Score: -8.797804523519748e+26, Time: 0.026475290192498103
Gen: 36, Best Score: -163.35315750380803, Avg Score: -2.0716430187225873e+24, Time: 0.026989690462748208
Gen: 37, Best Score: -163.35315750380803, Avg Score: -2.3741850678806466e+23, Time: 0.027532403071721393
Gen: 38, Best Score: -163.35315750380803, Avg Score: -201.81286922613285, Time: 0.028050738241937427
Gen: 39, Best Score: -163.35315750380803, Avg Score: -1.2935773293304856e+62, Time: 0.02864729364713033
Gen: 40, Best Score: -175.15288131018735, Avg Score: -7.385724988494043e+17, Time: 0.030380635460217794
Gen: 41, Best Score: -163.35315750380803, Avg Score: -2.028562957756634e+44, Time: 0.031022054221895006
Gen: 42, Best Score: -163.35315750380803, Avg Score: -2.9897933516908047e+65, Time: 0.03163134581512875
Gen: 43, Best Score: -163.35315750380803, Avg Score: -2.0311444895312297e+85, Time: 0.032280433575312295
Gen: 44, Best Score: -163.35315750380803, Avg Score: -2.7839104173263516e+19, Time: 0.03299360838201311
Gen: 45, Best Score: -163.3522031092049, Avg Score: -1.3672484890459135e+44, Time: 0.03378202630413903
Gen: 46, Best Score: -163.3522031092049, Avg Score: -4.289623583438345e+34, Time: 0.03458075020048353
Gen: 47, Best Score: -162.843212290364, Avg Score: -4.0762527089554336e+33, Time: 0.03532271650102403
Gen: 48, Best Score: -162.9483734343255, Avg Score: -4.367626303519806e+36, Time: 0.036109343104892305
Gen: 49, Best Score: -162.843212290364, Avg Score: -6100038520812116.0, Time: 0.03682978245947096
Gen: 50, Best Score: -175.11830783188398, Avg Score: -2.31023846209971e+44, Time: 0.03889629754755232
Gen: 51, Best Score: -162.50906072869734, Avg Score: -3.5217003672452624e+16, Time: 0.039643291566107006
Gen: 52, Best Score: -162.51509442978426, Avg Score: -1.389815344229194e+26, Time: 0.04038488169511159
Gen: 53, Best Score: -162.60720614238022, Avg Score: -1.467153461807121e+21, Time: 0.04108135057820214
Gen: 54, Best Score: -162.19287275242107, Avg Score: -4.219445026554683e+60, Time: 0.04178049498134189
Gen: 55, Best Score: -162.12089666058336, Avg Score: -1.6457322340650906e+120, Time: 0.04257415738370683
Gen: 56, Best Score: -161.96020043956526, Avg Score: -1.4748874561623435e+20, Time: 0.0432682873805364
Gen: 57, Best Score: -159.9624438128438, Avg Score: -1.6485900447640705e+20, Time: 0.04405573646227519
Gen: 58, Best Score: -162.51313985596326, Avg Score: -3.2526154573565313e+56, Time: 0.04476256403658125
Gen: 59, Best Score: -162.60720614238022, Avg Score: -2.2675902725608894e+74, Time: 0.04552445206377241
Gen: 60, Best Score: -168.1523454323736, Avg Score: -3.1538016311369536e+43, Time: 0.047627247505717805
Gen: 61, Best Score: -162.51412469491441, Avg Score: -690.6979957571291, Time: 0.04839713282055325
Gen: 62, Best Score: -162.2018675421479, Avg Score: -6.61827721795264e+22, Time: 0.049036672115325926
Gen: 63, Best Score: -162.2018675421479, Avg Score: -3.677375900234506e+53, Time: 0.04979089922375149
Gen: 64, Best Score: -162.2018675421479, Avg Score: -461101001.0069173, Time: 0.05042446639802721
Gen: 65, Best Score: -162.2018675421479, Avg Score: -2.3565531493149304e+16, Time: 0.05106383860111237
Gen: 66, Best Score: -162.2018675421479, Avg Score: -2.4674403209730008e+23, Time: 0.05167970604366726
Gen: 67, Best Score: -162.14750875850308, Avg Score: -2.5454908027312914e+28, Time: 0.05232471472687191
Gen: 68, Best Score: -162.05685199949593, Avg Score: -180.84596092652578, Time: 0.05302030437522464
Gen: 69, Best Score: -162.05685199949593, Avg Score: -2.041763067046152e+25, Time: 0.05381734192371369
Gen: 70, Best Score: -165.1424788454938, Avg Score: -2.8950637008398706e+20, Time: 0.05611683660083347
Gen: 71, Best Score: -158.8760337971462, Avg Score: -3.3320613425279585e+18, Time: 0.05705350332789951
Gen: 72, Best Score: -158.8760337971462, Avg Score: -4.563910870808788e+20, Time: 0.05791590352853139
Gen: 73, Best Score: -158.8760337971462, Avg Score: -1.2825345447354097e+29, Time: 0.058818388713730706
Gen: 74, Best Score: -158.8760337971462, Avg Score: -1.5145674018971987e+39, Time: 0.059792737629678516
Gen: 75, Best Score: -158.8760337971462, Avg Score: -3.019590295696126e+40, Time: 0.0607371097140842
Gen: 76, Best Score: -158.8760337971462, Avg Score: -4.499661410403838e+53, Time: 0.061614935530556574
Gen: 77, Best Score: -158.8760337971462, Avg Score: -9.878295558332417e+23, Time: 0.06245679987801446
Gen: 78, Best Score: -158.8760337971462, Avg Score: -2.464831414756673e+17, Time: 0.06330825401677026
Gen: 79, Best Score: -158.8760337971462, Avg Score: -9.022104790457813e+44, Time: 0.06415481686592102
Gen: 80, Best Score: -163.81713779322428, Avg Score: -791402770792617.1, Time: 0.0666494122478697
Gen: 81, Best Score: -157.78320966280336, Avg Score: -3.631528727032694e+23, Time: 0.06766661445299785
Gen: 82, Best Score: -157.6878051002794, Avg Score: -178.76052341416556, Time: 0.06854959474669563
Gen: 83, Best Score: -157.58648908278715, Avg Score: -1484271.1985524353, Time: 0.06949098613527085
Gen: 84, Best Score: -156.55193026501007, Avg Score: -9.314656217624573e+22, Time: 0.07043578147888184
Gen: 85, Best Score: -157.65198896033584, Avg Score: -4.170758886956611e+49, Time: 0.07141868942313724
Gen: 86, Best Score: -157.8351531012484, Avg Score: -2.230863573195251e+54, Time: 0.07239075991842482
Gen: 87, Best Score: -152.54752952594643, Avg Score: -2.9113989456041925e+25, Time: 0.07334836423397065
Gen: 88, Best Score: -157.3359650104543, Avg Score: -1.2075710334103575e+18, Time: 0.07431746489471859
Gen: 89, Best Score: -157.3985390472177, Avg Score: -1.5637178341053182e+26, Time: 0.07523581908808814
Gen: 90, Best Score: -163.81713840810758, Avg Score: -37795.6968527021, Time: 0.0778769901725981
Gen: 91, Best Score: -152.19403892884205, Avg Score: -4.4128342635766234e+24, Time: 0.07876505580213335
Gen: 92, Best Score: -158.3053251951575, Avg Score: -1.8240553656701553e+23, Time: 0.07973272879918417
Gen: 93, Best Score: -158.20584316779895, Avg Score: -1.0049131024309716e+55, Time: 0.08063180022769505
Gen: 94, Best Score: -157.70825665133174, Avg Score: -1.1230970513510518e+21, Time: 0.08159447080559201
Gen: 95, Best Score: -157.99473251169132, Avg Score: -4.6070109537109446e+24, Time: 0.08251068373521168
Gen: 96, Best Score: -158.3053251951575, Avg Score: -1.380115228523974e+38, Time: 0.08344423830509186
Gen: 97, Best Score: -158.1445732124038, Avg Score: -1.1226670356854177e+34, Time: 0.0844367089536455
Gen: 98, Best Score: -157.3432130187071, Avg Score: -8.681015769383935e+17, Time: 0.08532268934779697
Gen: 99, Best Score: -157.5107839664033, Avg Score: -5.019424030843936e+53, Time: 0.08629593001471625
Gen: 100, Best Score: -160.01250907939772, Avg Score: -193.64938348377748, Time: 0.08944441464212205
Gen: 101, Best Score: -157.14838110140394, Avg Score: -4.3201446808033126e+17, Time: 0.09025749643643698
Gen: 102, Best Score: -157.50836158258974, Avg Score: -3.021681078756478e+17, Time: 0.09106219960583581
Gen: 103, Best Score: -157.7059231935122, Avg Score: -1.491509986919029e+25, Time: 0.09186659865909153
Gen: 104, Best Score: -157.7059231935122, Avg Score: -2.566575233306879e+37, Time: 0.09268374767568377
Gen: 105, Best Score: -156.4881630789585, Avg Score: -1382813.607581129, Time: 0.09349362002478706
Gen: 106, Best Score: -157.7059231935122, Avg Score: -5.6735552216188e+18, Time: 0.09433260129557716
Gen: 107, Best Score: -155.55855899217232, Avg Score: -1.3064897905814734e+25, Time: 0.09514127486281924
Gen: 108, Best Score: -157.7059231935122, Avg Score: -5.053257837577211e+19, Time: 0.09594946020179325
Gen: 109, Best Score: -157.7059231935122, Avg Score: -4.417682009300315e+17, Time: 0.09682029995653364
Gen: 110, Best Score: -163.73930710551736, Avg Score: -178.22021733384628, Time: 0.0991368043422699
Gen: 111, Best Score: -157.7059231935122, Avg Score: -3.4568123742435386e+17, Time: 0.10001085665490893
Gen: 112, Best Score: -157.7059231935122, Avg Score: -2.4936570707765533e+22, Time: 0.10082047442595164
Gen: 113, Best Score: -157.7059231935122, Avg Score: -6.252596910390283e+27, Time: 0.10167466229862637
Gen: 114, Best Score: -157.7059231935122, Avg Score: -1.9821980822737576e+24, Time: 0.10253963424099816
Gen: 115, Best Score: -157.7059231935122, Avg Score: -2.2763703220197266e+18, Time: 0.10341206457879808
Gen: 116, Best Score: -157.7059231935122, Avg Score: -1.3687052107561651e+23, Time: 0.10427176535129547
Gen: 117, Best Score: -157.15904806149655, Avg Score: -187347427.3144821, Time: 0.10519077195061578
Gen: 118, Best Score: -157.15904806149655, Avg Score: -1.924886730383852e+17, Time: 0.10606878201166789
Gen: 119, Best Score: -157.15904806149655, Avg Score: -4.400142234965427e+17, Time: 0.1069528478384018
Gen: 120, Best Score: -163.9598059796503, Avg Score: -3.19784310772824e+18, Time: 0.1093484028842714
Gen: 121, Best Score: -157.15904806149655, Avg Score: -4.775616770310791e+25, Time: 0.11017865750524733
Gen: 122, Best Score: -157.15904806149655, Avg Score: -173.04747695338014, Time: 0.11108315461211735
Gen: 123, Best Score: -157.15904806149655, Avg Score: -4.590868284658099e+25, Time: 0.1120223808950848
Gen: 124, Best Score: -156.6924962651823, Avg Score: -167.47201141609293, Time: 0.11293737762504154
Gen: 125, Best Score: -153.42491310104828, Avg Score: -4.19626629510943e+16, Time: 0.11381719556119707
Gen: 126, Best Score: -157.15904806149655, Avg Score: -1.369598507768506e+16, Time: 0.11475923981931474
Gen: 127, Best Score: -157.15904806149655, Avg Score: -9.332458039439458e+25, Time: 0.11565322836240133
Gen: 128, Best Score: -157.15904806149655, Avg Score: -989.9511301192172, Time: 0.11650070011615753
Gen: 129, Best Score: -157.1436567419484, Avg Score: -703467692258.7046, Time: 0.11744076675838894
Gen: 130, Best Score: -160.36771597088597, Avg Score: -1227706037.0578024, Time: 0.11993326743443807
Gen: 131, Best Score: -157.15904806149655, Avg Score: -3.581851367392798e+27, Time: 0.12080681052472857
Gen: 132, Best Score: -157.15904806149655, Avg Score: -1.817665068191783e+18, Time: 0.12167762186792162
Gen: 133, Best Score: -156.0139917268976, Avg Score: -5.3326509031453635e+20, Time: 0.12260626945230696
Gen: 134, Best Score: -157.15904806149655, Avg Score: -521.2330948094332, Time: 0.12350019223160213
Gen: 135, Best Score: -157.15904806149655, Avg Score: -6.200191488314794e+17, Time: 0.12436335212654538
Gen: 136, Best Score: -157.15904806149655, Avg Score: -1.1888244949175265e+25, Time: 0.12524676475259994
Gen: 137, Best Score: -157.15904806149655, Avg Score: -3.287837144453857e+54, Time: 0.12614428023497262
Gen: 138, Best Score: -156.92410237078033, Avg Score: -1993751.2355192478, Time: 0.1270323032140732
Gen: 139, Best Score: -157.15904806149655, Avg Score: -194977659.35866678, Time: 0.12802405171924167
Gen: 140, Best Score: -157.45661800414143, Avg Score: -180.278095387599, Time: 0.13203219645553166
Gen: 141, Best Score: -157.15904806149655, Avg Score: -1.570440148257852e+20, Time: 0.1332655824555291
Gen: 142, Best Score: -156.55630565739358, Avg Score: -3.5486598360727123e+25, Time: 0.13444567223389944
Gen: 143, Best Score: -156.88344122145529, Avg Score: -3.5482850716510144e+25, Time: 0.1356664819849862
Gen: 144, Best Score: -157.1590456624413, Avg Score: -3.5484768205806792e+25, Time: 0.13688573446538713
Gen: 145, Best Score: -156.75153240207698, Avg Score: -3.553981777557642e+25, Time: 0.13813583844237856
Gen: 146, Best Score: -156.76871475210376, Avg Score: -218837121853235.34, Time: 0.13932615955670674
Gen: 147, Best Score: -157.1544040241812, Avg Score: -3.5482969386383913e+25, Time: 0.14049275318781534
Gen: 148, Best Score: -156.89469094814586, Avg Score: -3.9834878887759074e+24, Time: 0.14175240993499755
Gen: 149, Best Score: -157.08210279067657, Avg Score: -2.3687662880601103e+20, Time: 0.14309059732490115
Gen: 150, Best Score: -163.76117241251876, Avg Score: -8.907483219124641e+20, Time: 0.14639645198980966
Gen: 151, Best Score: -157.15904806149655, Avg Score: -218837121853231.88, Time: 0.14766249391767713
Gen: 152, Best Score: -157.15904806149655, Avg Score: -7.947831519106226e+17, Time: 0.14887378348244562
Gen: 153, Best Score: -157.15904806149655, Avg Score: -238.2091732712829, Time: 0.15001747455861833
Gen: 154, Best Score: -157.15904806149655, Avg Score: -312.5187343231743, Time: 0.15116715272267658
Gen: 155, Best Score: -157.15904806149655, Avg Score: -3.5482850716510144e+25, Time: 0.15241612321800657
Gen: 156, Best Score: -157.15904806149655, Avg Score: -2.7609681078297877e+26, Time: 0.15366440931955974
Gen: 157, Best Score: -157.15904806149655, Avg Score: -7.096570143323372e+25, Time: 0.15484404080443911
Gen: 158, Best Score: -156.59678160993275, Avg Score: -1.1076425764446044e+27, Time: 0.1560301532347997
Gen: 159, Best Score: -156.59678160993275, Avg Score: -3.5483127135558913e+25, Time: 0.15713721851507823
Gen: 160, Best Score: -163.7207580259202, Avg Score: -1.4824180253960938e+21, Time: 0.1604897755384445
Gen: 161, Best Score: -156.94750233017893, Avg Score: -7.096570143302029e+25, Time: 0.16174069417847528
Gen: 162, Best Score: -156.59678160993275, Avg Score: -1.1866834054869916e+20, Time: 0.16292674885855782
Gen: 163, Best Score: -156.59678160993275, Avg Score: -1.1857175316362842e+30, Time: 0.16409592780801985
Gen: 164, Best Score: -156.59678160993275, Avg Score: -4.7291066495545387e+24, Time: 0.16536710699399312
Gen: 165, Best Score: -153.64381993501507, Avg Score: -3.548285071673052e+25, Time: 0.16656035357051424
Gen: 166, Best Score: -151.92585054362476, Avg Score: -3.5482866298327147e+25, Time: 0.16776680303944483
Gen: 167, Best Score: -156.2557252196952, Avg Score: -3.5482850716728986e+25, Time: 0.16898801929420895
Gen: 168, Best Score: -156.59678160993275, Avg Score: -7.093011905746512e+25, Time: 0.17016916533311208
Gen: 169, Best Score: -156.59678160993275, Avg Score: -4.512747095511613e+18, Time: 0.17143814086914064
Gen: 170, Best Score: -163.75592030778753, Avg Score: -6.771103584903885e+20, Time: 0.1747118365764618
Gen: 171, Best Score: -156.59678160993275, Avg Score: -5.145801464521958e+25, Time: 0.17596933590041267
Gen: 172, Best Score: -156.59678160993275, Avg Score: -3.561593242145321e+25, Time: 0.1772089785999722
Gen: 173, Best Score: -156.59678160993275, Avg Score: -3.2686798238490755e+27, Time: 0.17846701191531286
Gen: 174, Best Score: -156.59678160993275, Avg Score: -1.2467747700973649e+26, Time: 0.17967552595668368
Gen: 175, Best Score: -156.59678160993275, Avg Score: -3.5482850716728986e+25, Time: 0.18084344036049313
Gen: 176, Best Score: -156.59678160993275, Avg Score: -6.844547244768218e+16, Time: 0.18202469461494022
Gen: 177, Best Score: -156.59678160993275, Avg Score: -3.5482876539063802e+25, Time: 0.18317900988790725
Gen: 178, Best Score: -156.59678160993275, Avg Score: -218837121853230.94, Time: 0.18444270809491475
Gen: 179, Best Score: -155.9054202983852, Avg Score: -3.5482850716510144e+25, Time: 0.1856169613202413
Gen: 180, Best Score: -162.53549699288862, Avg Score: -1.7157942692262335e+21, Time: 0.18891315095954472
Gen: 181, Best Score: -156.59678160993275, Avg Score: -7.096570560495413e+25, Time: 0.19011706590652466
Gen: 182, Best Score: -156.59678160993275, Avg Score: -6.364694692995005e+18, Time: 0.19129832996262444
Gen: 183, Best Score: -155.06820180255937, Avg Score: -4.171933847415204e+18, Time: 0.1924757213724984
Gen: 184, Best Score: -156.59678160993275, Avg Score: -1.6548394577793454e+26, Time: 0.1936514675617218
Gen: 185, Best Score: -156.59678160993275, Avg Score: -218837121858960.5, Time: 0.1949221702416738
Gen: 186, Best Score: -156.59678160993275, Avg Score: -1.0414424505901357e+17, Time: 0.19616497854391735
Gen: 187, Best Score: -156.59678160993275, Avg Score: -3.5395698738846525e+25, Time: 0.19746409462557898
Gen: 188, Best Score: -156.59678160993275, Avg Score: -7.096672495989966e+25, Time: 0.19868797401587168
Gen: 189, Best Score: -156.59678160993275, Avg Score: -198.9689505097071, Time: 0.19993196500672233
Gen: 190, Best Score: -164.28196665355142, Avg Score: -5.7193142307541103e+20, Time: 0.2031496955288781
Gen: 191, Best Score: -156.59678160993275, Avg Score: -7.024837764911716e+38, Time: 0.20433505753676096
Gen: 192, Best Score: -156.59678160993275, Avg Score: -6.405453183609762e+33, Time: 0.20551190700795915
Gen: 193, Best Score: -156.59678160993275, Avg Score: -3.5482850716728986e+25, Time: 0.20670420308907828
Gen: 194, Best Score: -156.59678160993275, Avg Score: -8.870710494040608e+24, Time: 0.20791291269991133
Gen: 195, Best Score: -156.59678160993275, Avg Score: -8.791535943202161e+27, Time: 0.20908298075199128
Gen: 196, Best Score: -156.59678160993275, Avg Score: -218837121853230.97, Time: 0.21024756140179104
Gen: 197, Best Score: -156.59678160993275, Avg Score: -6.805100553909364e+17, Time: 0.21147690289550358
Gen: 198, Best Score: -156.59678160993275, Avg Score: -8.492668481911726e+23, Time: 0.2127488578690423
Gen: 199, Best Score: -156.59678160993275, Avg Score: -8.949811517999711e+25, Time: 0.2139270375834571
Gen: 200, Best Score: -164.5388810940936, Avg Score: -4.173969132216294e+19, Time: 0.21704485423035091
Gen: 201, Best Score: -156.59678160993275, Avg Score: -9.748324389484601e+26, Time: 0.2182662362522549
Gen: 202, Best Score: -156.59678160993275, Avg Score: -4.438904274189998e+31, Time: 0.21949444499280718
Gen: 203, Best Score: -156.59678160993275, Avg Score: -212457527086.73563, Time: 0.22065967871083153
Gen: 204, Best Score: -156.59678160993275, Avg Score: -5.881398469526117e+25, Time: 0.22191033793820275
Gen: 205, Best Score: -156.59678160993275, Avg Score: -9.338531995112915e+46, Time: 0.22314145273632474
Gen: 206, Best Score: -156.59678160993275, Avg Score: -3.8286172762023676e+26, Time: 0.22429647617869908
Gen: 207, Best Score: -156.59678160993275, Avg Score: -1.1102933048947305e+44, Time: 0.22546592950820923
Gen: 208, Best Score: -156.59678160993275, Avg Score: -1.73077355077188e+17, Time: 0.22663318812847139
Gen: 209, Best Score: -156.59678160993275, Avg Score: -1.0479052841632406e+17, Time: 0.22782799356513553
Gen: 210, Best Score: -164.0193143834884, Avg Score: -1.6937427262859117e+20, Time: 0.23108033213350507
Gen: 211, Best Score: -156.59678160993275, Avg Score: -3.5482916329564754e+25, Time: 0.23223830554220412
Gen: 212, Best Score: -155.98701901935516, Avg Score: -6.228902831511676e+17, Time: 0.23347388929790922
Gen: 213, Best Score: -156.59678160993275, Avg Score: -3.423153584059908e+33, Time: 0.23465825696786244
Gen: 214, Best Score: -156.24970528558757, Avg Score: -147787951.74763975, Time: 0.23587023039658864
